observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
29091,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
14763,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14763,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
18859,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18863,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18865,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18865,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
4531,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2484,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12727,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
41400,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4538,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16830,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2495,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16832,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33218,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6596,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6597,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18885,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14793,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16841,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16842,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
10700,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12748,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33229,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33230,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33230,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
35277,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
8657,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16851,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22995,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23004,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6621,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6621,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
6621,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
6621,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
33247,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
29152,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35297,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16866,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23012,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4581,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16871,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
